cohort_date,cohort_size,avg_ltv_7_days,avg_ltv_14_days,avg_ltv_21_days,avg_ltv_1_month,avg_ltv_3_months,avg_ltv_6_months,avg_ltv_12_months,avg_ltv_18_months,avg_ltv_24_months
2023-07-31,1,67.19,67.19,67.19,67.19,67.19,67.19,67.19,67.19,67.19
2023-08-01,1,7.62,7.62,7.62,7.62,22.47,44.99,52.48,52.48,52.48
2023-08-02,2,37.09,37.09,37.09,37.09,44.07,44.07,44.07,44.07,44.07
2023-08-03,2,70.35,70.35,70.35,70.35,70.35,70.35,70.35,70.35,70.35
2023-08-06,1,67.19,67.19,67.19,67.19,67.19,67.19,67.19,67.19,67.19
2023-08-07,7,8.48,8.48,8.48,8.48,22.45,31.44,31.44,31.44,31.44
2023-08-08,1,67.19,67.19,67.19,67.19,67.19,67.19,67.19,67.19,67.19
2023-08-09,4,22.96,22.96,22.96,22.96,33.43,43.91,47.41,47.41,47.41
2023-08-10,3,8.15,8.15,8.15,8.15,22.12,36.09,36.09,36.09,36.09
2023-08-12,1,63.37,63.37,63.37,63.37,63.37,63.37,63.37,63.37,63.37
2023-08-13,3,13.97,13.97,13.97,13.97,39.59,51.23,51.23,51.23,51.23
2023-08-14,1,18.31,18.31,18.31,18.31,46.83,46.83,46.83,46.83,46.83
2023-08-15,2,6.99,6.99,6.99,6.99,17.46,27.94,27.94,27.94,27.94
2023-08-17,1,67.19,67.19,67.19,67.19,67.19,67.19,67.19,67.19,67.19
2023-08-18,1,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49
2023-08-21,2,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4
2023-08-22,1,94.55,94.55,94.55,94.55,94.55,94.55,94.55,94.55,94.55
2023-08-23,1,6.99,6.99,6.99,6.99,20.96,41.92,41.92,41.92,41.92
2023-08-24,1,11.02,11.02,11.02,11.02,21.61,21.61,21.61,21.61,21.61
2023-08-26,7,24.21,24.21,24.21,24.21,32.21,38.26,38.26,38.26,38.26
2023-08-27,2,5.31,5.31,5.31,5.31,8.8,8.8,8.8,8.8,8.8
2023-08-28,2,6.99,6.99,6.99,6.99,17.46,17.46,17.46,17.46,17.46
2023-08-31,3,7.16,7.16,7.16,13.01,18.85,25.83,25.83,25.83,25.83
2023-09-01,4,8.73,8.73,8.73,14.85,19.21,24.45,24.45,24.45,24.45
2023-09-02,1,13.97,13.97,13.97,27.94,41.92,69.86,69.86,69.86,69.86
2023-09-04,8,13.64,13.64,13.64,17.13,20.62,27.17,27.17,27.17,27.17
2023-09-05,4,40.58,40.58,40.58,47.56,50.18,50.18,50.18,50.18,50.18
2023-09-06,3,9.31,9.31,9.31,17.46,22.12,29.11,29.11,29.11,29.11
2023-09-07,4,9.61,9.61,9.61,17.46,20.08,21.83,21.83,21.83,21.83
2023-09-08,5,25.74,25.74,25.74,29.94,32.73,34.83,34.83,34.83,34.83
2023-09-09,2,7.14,7.14,7.14,12.44,17.76,28.72,28.72,28.72,28.72
2023-09-10,2,35.34,35.34,35.34,35.34,35.34,35.34,35.34,35.34,35.34
2023-09-11,2,66.16,66.16,66.16,66.16,66.16,66.16,66.16,66.16,66.16
2023-09-12,1,67.19,67.19,67.19,67.19,67.19,67.19,67.19,67.19,67.19
2023-09-13,1,67.19,67.19,67.19,67.19,67.19,67.19,67.19,67.19,67.19
2023-09-14,3,9.31,9.31,9.31,12.81,12.81,12.81,12.81,12.81,12.81
2023-09-16,2,8.73,8.73,8.73,8.73,8.73,8.73,8.73,8.73,8.73
2023-09-17,1,6.99,6.99,6.99,13.97,20.96,38.42,38.42,38.42,38.42
2023-09-19,2,8.81,8.81,8.81,14.05,19.29,19.29,19.29,19.29,19.29
2023-09-20,2,37.17,37.17,37.17,37.17,37.17,37.17,37.17,37.17,37.17
2023-09-22,2,83.98,83.98,83.98,83.98,83.98,83.98,83.98,83.98,83.98
2023-09-24,1,17.46,17.46,17.46,17.46,57.3,86.66,86.66,86.66,86.66
2023-09-25,2,12.42,12.42,12.42,24.84,33.87,50.19,50.19,50.19,50.19
2023-09-27,3,29.38,29.38,29.38,34.04,34.04,34.04,34.04,34.04,34.04
2023-09-28,1,67.19,67.19,67.19,67.19,67.19,67.19,67.19,67.19,67.19
2023-09-30,2,57.38,57.38,57.38,64.36,71.35,76.59,76.59,76.59,76.59
2023-10-01,1,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99
2023-10-02,1,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99
2023-10-04,1,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99
2023-10-05,1,10.48,10.48,10.48,10.48,31.44,45.41,45.41,45.41,45.41
2023-10-06,2,8.73,8.73,8.73,8.73,13.97,13.97,13.97,13.97,13.97
2023-10-07,2,55.63,55.63,55.63,55.63,55.63,55.63,55.63,55.63,55.63
2023-10-08,1,13.97,13.97,13.97,13.97,41.92,48.9,48.9,48.9,48.9
2023-10-10,2,6.99,6.99,6.99,6.99,20.96,34.93,34.93,34.93,34.93
2023-10-11,2,53.88,53.88,53.88,53.88,60.87,67.85,67.85,67.85,67.85
2023-10-12,2,8.73,8.73,8.73,8.73,8.73,8.73,8.73,8.73,8.73
2023-10-13,2,38.83,38.83,38.83,38.83,49.31,49.31,49.31,49.31,49.31
2023-10-18,7,29.98,29.98,29.98,29.98,38.07,41.56,41.56,41.56,41.56
2023-10-19,4,55.63,55.63,55.63,55.63,58.25,58.25,58.25,58.25,58.25
2023-10-23,2,10.48,10.48,10.48,10.48,15.72,15.72,15.72,15.72,15.72
2023-10-24,2,6.99,6.99,6.99,6.99,13.97,17.46,17.46,17.46,17.46
2023-10-26,1,10.48,10.48,10.48,10.48,10.48,10.48,10.48,10.48,10.48
2023-10-27,1,6.99,6.99,6.99,6.99,20.96,27.94,27.94,27.94,27.94
2023-10-29,1,6.99,6.99,6.99,6.99,20.96,27.94,27.94,27.94,27.94
2023-10-30,2,38.83,38.83,38.83,38.83,38.83,38.83,38.83,38.83,38.83
2023-10-31,1,10.48,10.48,10.48,10.48,10.48,10.48,10.48,10.48,10.48
2023-11-01,2,13.99,13.99,13.99,17.49,28.46,32.13,32.13,32.13,32.13
2023-11-03,3,27.05,27.05,27.05,31.71,36.37,41.02,41.02,41.02,41.02
2023-11-05,1,100.78,100.78,100.78,100.78,100.78,100.78,100.78,100.78,100.78
2023-11-08,1,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99
2023-11-09,2,38.83,38.83,38.83,44.07,49.31,49.31,49.31,49.31,49.31
2023-11-10,1,13.97,13.97,13.97,13.97,13.97,13.97,13.97,13.97,13.97
2023-11-11,1,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99
2023-11-14,2,8.73,8.73,8.73,13.97,13.97,13.97,13.97,13.97,13.97
2023-11-20,2,75.58,75.58,75.58,75.58,75.58,75.58,75.58,75.58,75.58
